Titlu,Autor,An,Categorie,Descriere
Ion,Liviu Rebreanu,1920,Literatură română,Roman despre un țăran ardelean obsedat de dobândirea pământului.
Pădurea spânzuraților,Liviu Rebreanu,1922,Literatură română,Roman despre drama unui ofițer ardelean silit să lupte pentru Austro-Ungaria.
Răscoala,Liviu Rebreanu,1932,Literatură română,Roman despre răscoala țărănească din 1907 și cauzele ei sociale.
Moromeții,Marin Preda,1955,Literatură română,Roman despre viața unei familii de țărani din Câmpia Dunării înaintea celui de-al Doilea Război Mondial.
Cel mai iubit dintre pământeni,Marin Preda,1980,Literatură română,Roman despre destinul unui intelectual în anii regimului comunist.
Enigma Otiliei,George Călinescu,1938,Literatură română,"Roman despre moștenire, familie și iubire în București, la începutul secolului XX."
"Ultima noapte de dragoste, întâia noapte de război",Camil Petrescu,1930,Literatură română,Roman despre gelozie și despre experiența frontului în Primul Război Mondial.
Patul lui Procust,Camil Petrescu,1933,Literatură română,"Roman modernist despre iubire și percepții subiective, construit din mai multe puncte de vedere."
Baltagul,Mihail Sadoveanu,1930,Literatură română,Roman despre o femeie care pornește în căutarea soțului dispărut în munți.
Frații Jderi,Mihail Sadoveanu,1935,Literatură română,Trilogie istorică despre Moldova lui Ștefan cel Mare.
Moara cu noroc,Ioan Slavici,1881,Literatură română,Nuvelă despre lăcomie și destin nefast la o moară de la marginea satului.
Mara,Ioan Slavici,1906,Literatură română,Roman despre o văduvă comerciantă și relațiile de familie din Ardeal.
Craii de Curtea-Veche,Mateiu Caragiale,1929,Literatură română,Roman despre decadența unui grup de boemi bucureșteni de la începutul secolului XX.
Groapa,Eugen Barbu,1957,Literatură română,Roman despre viața unui cartier mărginaș bucureștean din perioada interbelică.
Cronică de familie,Petru Dumitriu,1956,Literatură română,Roman de amploare despre decăderea unei familii boierești românești.
Orbitor,Mircea Cărtărescu,1996,Literatură română,"Trilogie romanescă ce amestecă memoria, mitul și fantasticul într-un București vizionar."
Solenoid,Mircea Cărtărescu,2015,Literatură română,Roman despre un profesor de română obsedat de vise și de o realitate paralelă.
Cartea șoaptelor,Varujan Vosganian,2009,Literatură română,Roman despre memoria comunității armene din România și tragedia genocidului.
Adela,Garabet Ibrăileanu,1933,Literatură română,"Roman epistolar despre o iubire neîmplinită la Iași, la începutul secolului XX."
Concert din muzică de Bach,Hortensia Papadat-Bengescu,1927,Literatură română,"Roman despre familia Hallipa, în ciclul romanesc al autoarei."
Toate pânzele sus!,Radu Tudoran,1954,Literatură română,Roman de aventuri despre un tânăr care pornește pe mare pentru a-și găsi tatăl.
Ciocoii vechi și noi,Nicolae Filimon,1863,Literatură română,Roman despre ascensiunea unui parvenit în societatea românească a secolului XIX.
Viața la țară,Duiliu Zamfirescu,1894,Literatură română,Roman despre viața moșierimii române de la sfârșitul secolului XIX.
Întunecare,Cezar Petrescu,1927,Literatură română,Roman despre destinul unei generații afectate de Primul Război Mondial.
Zodia Cancerului sau Vremea Ducăi-Vodă,Mihail Sadoveanu,1929,Literatură română,Roman istoric despre intrigile de la curtea Moldovei în secolul XVII.
Zilele regelui,Filip Florian,2008,Literatură română,"Roman despre sosirea lui Carol I în Principatele Unite, văzută prin ochii unui câine."
Degete mici,Filip Florian,2005,Literatură română,Roman despre descoperirea unor oseminte într-un sat de munte și tensiunile pe care le stârnește.
Sunt o babă comunistă!,Dan Lungu,2007,Literatură română,Roman despre nostalgia unei foste muncitoare pentru perioada comunistă.
Simion Liftnicul,Petru Cimpoeșu,2001,Literatură română,Roman despre un liftier dintr-un oraș de provincie și transformarea sa neașteptată.
Provizorat,Gabriela Adameșteanu,2010,Literatură română,Roman despre o poveste de dragoste pe fondul vieții cotidiene din perioada comunistă.
Dimineață pierdută,Gabriela Adameșteanu,1984,Literatură română,Roman despre destinul mai multor generații ale unei familii bucureștene.
Absent,Lavinia Braniște,2016,Literatură română,Roman despre viața unei tinere traducătoare din România contemporană.
1984,George Orwell,1949,Literatură străină,Roman distopic despre supraveghere totală și controlul statului asupra gândirii individuale.
Mândrie și prejudecată,Jane Austen,1813,Literatură străină,Roman despre relații sociale și căsătorie în Anglia rurală de la începutul secolului XIX.
Crimă și pedeapsă,Feodor Dostoievski,1866,Literatură străină,"Roman psihologic despre vinovăție și mântuire, centrat pe un tânăr care comite o crimă."
Moby Dick,Herman Melville,1851,Literatură străină,Povestea unei obsesii: căpitanul Ahab urmărește balena albă care i-a distrus viața.
Marele Gatsby,F. Scott Fitzgerald,1925,Literatură străină,"Roman despre bogăție, iluzii și dragoste neîmplinită în America anilor 1920."
Fahrenheit 451,Ray Bradbury,1953,Literatură străină,Roman distopic dintr-o lume în care cărțile sunt interzise și arse de pompieri.
Război și pace,Lev Tolstoi,1869,Literatură străină,Epopee despre societatea rusă în timpul războaielor napoleoniene.
Don Quijote,Miguel de Cervantes,1605,Literatură străină,Aventurile unui hidalgo care își pierde mințile citind romane cavalerești.
Ulise,James Joyce,1922,Literatură străină,Roman modernist ce urmărește o singură zi din viața a doi bărbați din Dublin.
În căutarea timpului pierdut,Marcel Proust,1913,Literatură străină,Ciclu romanesc despre memorie involuntară și trecerea timpului.
Procesul,Franz Kafka,1925,Literatură străină,"Roman despre un om acuzat de o crimă niciodată numită, prins într-un sistem birocratic absurd."
Metamorfoza,Franz Kafka,1915,Literatură străină,Nuvelă despre un vânzător care se trezește transformat într-o insectă uriașă.
Un veac de singurătate,Gabriel García Márquez,1967,Literatură străină,Roman despre mai multe generații ale familiei Buendía într-un sat fictiv din America de Sud.
Numele trandafirului,Umberto Eco,1980,Literatură străină,Roman polițist medieval petrecut într-o mănăstire benedictină.
Străinul,Albert Camus,1942,Literatură străină,"Roman despre indiferența unui om față de propria existență, după o crimă comisă absurd."
Ciuma,Albert Camus,1947,Literatură străină,Roman despre un oraș algerian izolat de o epidemie și despre solidaritatea umană.
Greața,Jean-Paul Sartre,1938,Literatură străină,Roman filosofic despre criza existențială a unui istoric singuratic.
Lolita,Vladimir Nabokov,1955,Literatură străină,Roman despre obsesia distructivă a unui bărbat matur pentru o adolescentă.
Zorba Grecul,Nikos Kazantzakis,1946,Literatură străină,Roman despre prietenia dintre un intelectual retras și un grec plin de vitalitate.
Anna Karenina,Lev Tolstoi,1877,Literatură străină,Roman despre o femeie măritată care își riscă totul pentru o pasiune interzisă.
Poezii,Mihai Eminescu,1884,Poezie,Singurul volum de poezii publicat în timpul vieții marelui poet romantic român.
Plumb,George Bacovia,1916,Poezie,"Volum de debut, definitoriu pentru simbolismul românesc, dominat de teme ale singurătății."
Poemele luminii,Lucian Blaga,1919,Poezie,"Volum de debut al poetului filosof, marcat de teme cosmice și existențiale."
Cuvinte potrivite,Tudor Arghezi,1927,Poezie,"Volum ce reunește o parte importantă a liricii lui Arghezi, inclusiv psalmii."
11 elegii,Nichita Stănescu,1966,Poezie,"Ciclu de poeme despre limbaj, dragoste și cunoaștere."
"Octombrie, Noiembrie, Decembrie",Ana Blandiana,1972,Poezie,Volum de poezie despre trecerea anotimpurilor și fragilitatea vieții.
La Lilieci,Marin Sorescu,1973,Poezie,"Ciclu de poeme despre viața satului oltenesc, în versuri libere."
Singur printre poeți,Marin Sorescu,1964,Poezie,Volum de parodii și pastișe ale marilor poeți români.
Florile răului,Charles Baudelaire,1857,Poezie,"Volum fondator al poeziei moderne, centrat pe frumusețe, decadență și moarte."
Un anotimp în infern,Arthur Rimbaud,1873,Poezie,Poem în proză despre o criză spirituală și artistică.
Foi de iarbă,Walt Whitman,1855,Poezie,"Volum fondator al poeziei americane moderne, celebrând individul și democrația."
Elegii duineze,Rainer Maria Rilke,1922,Poezie,"Ciclu de poeme despre condiția umană, frumusețe și transcendență."
Douăzeci de poeme de dragoste și un cântec disperat,Pablo Neruda,1924,Poezie,Volum de poezie de dragoste al scriitorului chilian laureat Nobel.
Sonete,William Shakespeare,1609,Poezie,"Ciclu de 154 de sonete despre iubire, timp și frumusețe."
O scrisoare pierdută,Ion Luca Caragiale,1884,Teatru,Comedie despre corupția și mascaradele politice dintr-un oraș de provincie.
O noapte furtunoasă,Ion Luca Caragiale,1879,Teatru,Comedie despre gelozie și neînțelegeri într-o familie mic-burgheză bucureșteană.
D-ale carnavalului,Ion Luca Caragiale,1885,Teatru,Comedie despre încurcături amoroase petrecute în perioada carnavalului.
Steaua fără nume,Mihail Sebastian,1944,Teatru,Piesă despre un profesor de provincie și o călătoare misterioasă sosită cu trenul.
Jocul de-a vacanța,Mihail Sebastian,1938,Teatru,Piesă despre un grup de prieteni reuniți într-o vilă de vacanță.
Iona,Marin Sorescu,1968,Teatru,Monodramă despre un pescar închis simbolic în burta unui pește uriaș.
Rinocerii,Eugène Ionescu,1959,Teatru,Piesă absurdă despre transformarea treptată a locuitorilor unui oraș în rinoceri.
Cântăreața cheală,Eugène Ionescu,1950,Teatru,"Piesă de teatru al absurdului, construită din dialoguri fără sens aparent."
Hamlet,William Shakespeare,1601,Teatru,Tragedie despre un prinț danez care își răzbună tatăl ucis.
Avarul,Molière,1668,Teatru,Comedie despre zgârcenia unui bătrân bogat care își pune familia în pericol.
Stăpânul Inelelor: Frăția Inelului,J.R.R. Tolkien,1954,Fantezie & SF,Prima parte a epopeii fantasy despre distrugerea unui inel al puterii.
Hobbitul,J.R.R. Tolkien,1937,Fantezie & SF,Roman fantasy despre călătoria unui hobbit alături de pitici și un vrăjitor.
Fundația,Isaac Asimov,1951,Fantezie & SF,Roman SF despre declinul unui imperiu galactic și încercarea de a scurta epoca de haos.
"Eu, robotul",Isaac Asimov,1950,Fantezie & SF,Colecție de povestiri SF construite în jurul legilor roboticii.
Dune,Frank Herbert,1965,Fantezie & SF,Roman SF despre lupta pentru controlul unei planete deșertice esențiale pentru galaxie.
Neuromantul,William Gibson,1984,Fantezie & SF,"Roman fondator al genului cyberpunk, despre un hacker angajat pentru o misiune periculoasă."
Solaris,Stanisław Lem,1961,Fantezie & SF,Roman SF despre o stație științifică aflată în orbita unei planete-ocean inteligente.
Cronici marțiene,Ray Bradbury,1950,Fantezie & SF,Colecție de povestiri despre colonizarea planetei Marte de către oameni.
Jocul lui Ender,Orson Scott Card,1985,Fantezie & SF,Roman SF despre un copil antrenat să conducă flota umană într-un război interstelar.
Șah la păpuși,Vladimir Colin,1957,Fantezie & SF,Volum de povestiri SF ale unuia dintre pionierii genului în literatura română.
Legendele Țării lui Vam,Vladimir Colin,1961,Fantezie & SF,"Ciclu de povestiri fantastice românești, situate într-un ținut imaginar."
"Cronicile Narniei: Leul, Vrăjitoarea și Dulapul",C.S. Lewis,1950,Fantezie & SF,Roman fantasy despre patru copii care descoperă o lume magică printr-un dulap.
Crimă pe Orient Express,Agatha Christie,1934,Thriller & Mister,Roman polițist despre o crimă comisă într-un tren blocat de zăpadă.
Zece negri mititei,Agatha Christie,1939,Thriller & Mister,"Roman polițist despre zece străini adunați pe o insulă izolată, uciși pe rând."
Trenul de 16:50,Agatha Christie,1957,Thriller & Mister,Roman polițist în care detectivul Miss Marple anchetează o crimă văzută dintr-un tren.
Aventurile lui Sherlock Holmes,Arthur Conan Doyle,1892,Thriller & Mister,Colecție de povestiri polițiste ale celebrului detectiv londonez.
Câinele din Baskerville,Arthur Conan Doyle,1902,Thriller & Mister,Roman polițist despre o legendă sumbră ce planează asupra unei familii englezești.
Codul lui Da Vinci,Dan Brown,2003,Thriller & Mister,Roman thriller despre o conspirație legată de simboluri ascunse în opere de artă.
Fata dispărută,Gillian Flynn,2012,Thriller & Mister,Roman thriller despre dispariția suspectă a unei soții și minciunile din spatele unui cuplu.
Bărbați care urăsc femeile,Stieg Larsson,2005,Thriller & Mister,Roman thriller despre un jurnalist și o hackeriță ce anchetează o dispariție veche.
Umbra vântului,Carlos Ruiz Zafón,2001,Thriller & Mister,Roman despre un tânăr care descoperă misterul din spatele unei cărți uitate.
Rendez-vous cu un necunoscut,Rodica Ojog-Brașoveanu,1975,Thriller & Mister,Roman polițist românesc din seria dedicată anchetatorului Melania Lupu.
"Thinking, Fast and Slow",Daniel Kahneman,2011,Non-ficțiune,"Explorează cele două moduri în care gândim: rapid și intuitiv, respectiv lent și analitic."
Freakonomics,"Steven Levitt, Stephen Dubner",2005,Non-ficțiune,Aplică raționamentul economic la fenomene neobișnuite din viața de zi cu zi.
The Power of Habit,Charles Duhigg,2012,Non-ficțiune,Analizează cum se formează obiceiurile și cum pot fi schimbate.
Atomic Habits,James Clear,2018,Non-ficțiune,Ghid practic despre construirea obiceiurilor bune prin schimbări mici și constante.
Outliers,Malcolm Gladwell,2008,Non-ficțiune,Analizează factorii ascunși din spatele succesului extraordinar al unor oameni.
